"","REGION","SEXO","Variable","Year","AnunalAverage"
"1","1",1,"Ave.Age",1990,38.1327039278776
"2","1",2,"Ave.Age",1990,38.7048738332856
"3","1",1,"Ave.Schooling",1990,9.27218602652529
"4","1",2,"Ave.Schooling",1990,8.63366686353979
"5","1",1,"Employed.Numb",1990,85363.2548325
"6","1",2,"Employed.Numb",1990,33893.2067875
"7","1",1,"Employment.Share",1990,0.739209592658552
"8","1",2,"Employment.Share",1990,0.30785785977441
"9","1",1,"Pop",1990,115481.4714275
"10","1",2,"Pop",1990,110071.7995625
"11","1",1,"Unemployed.Numb",1990,4848.13691
"12","1",2,"Unemployed.Numb",1990,2324.9055825
"13","1",1,"Unemployment.Share",1990,0.0419643554365903
"14","1",2,"Unemployment.Share",1990,0.0211215347125568
"15","1",1,"Working.Hours",1990,49.5703458437038
"16","1",2,"Working.Hours",1990,42.9479592357163
"17","2",1,"Ave.Age",1990,37.309214632709
"18","2",2,"Ave.Age",1990,38.2059465212767
"19","2",1,"Ave.Schooling",1990,9.41976261906505
"20","2",2,"Ave.Schooling",1990,8.83681261291576
"21","2",1,"Employed.Numb",1990,93822.24077
"22","2",2,"Employed.Numb",1990,33921.34929
"23","2",1,"Employment.Share",1990,0.717138407999218
"24","2",2,"Employment.Share",1990,0.259122987183267
"25","2",1,"Pop",1990,130829.924345
"26","2",2,"Pop",1990,130878.38893
"27","2",1,"Unemployed.Numb",1990,7233.80427
"28","2",2,"Unemployed.Numb",1990,1505.78506
"29","2",1,"Unemployment.Share",1990,0.0552917710762419
"30","2",2,"Unemployment.Share",1990,0.0114969429915325
"31","2",1,"Working.Hours",1990,49.0374526961417
"32","2",2,"Working.Hours",1990,46.4050528241575
"33","3",1,"Ave.Age",1990,37.5304889783979
"34","3",2,"Ave.Age",1990,37.9854221978412
"35","3",1,"Ave.Schooling",1990,8.68658679774318
"36","3",2,"Ave.Schooling",1990,8.11265680898815
"37","3",1,"Employed.Numb",1990,51223.358985
"38","3",2,"Employed.Numb",1990,15982.4820925
"39","3",1,"Employment.Share",1990,0.749219525688904
"40","3",2,"Employment.Share",1990,0.236662606511382
"41","3",1,"Pop",1990,68373.1519875
"42","3",2,"Pop",1990,67534.0629575
"43","3",1,"Unemployed.Numb",1990,3682.9955725
"44","3",2,"Unemployed.Numb",1990,1161.5049575
"45","3",1,"Unemployment.Share",1990,0.0538505921240708
"46","3",2,"Unemployment.Share",1990,0.0171795972023988
"47","3",1,"Working.Hours",1990,51.7508902731898
"48","3",2,"Working.Hours",1990,46.9002237597674
"49","4",1,"Ave.Age",1990,39.071300407477
"50","4",2,"Ave.Age",1990,39.496587848203
"51","4",1,"Ave.Schooling",1990,6.94582340837877
"52","4",2,"Ave.Schooling",1990,7.13546023630722
"53","4",1,"Employed.Numb",1990,108176.3944025
"54","4",2,"Employed.Numb",1990,33820.301985
"55","4",1,"Employment.Share",1990,0.758047686017974
"56","4",2,"Employment.Share",1990,0.220223738689183
"57","4",1,"Pop",1990,142711.4589225
"58","4",2,"Pop",1990,153557.5095225
"59","4",1,"Unemployed.Numb",1990,5816.30115
"60","4",2,"Unemployed.Numb",1990,2182.4100175
"61","4",1,"Unemployment.Share",1990,0.0407536469464018
"62","4",2,"Unemployment.Share",1990,0.0142337581111459
"63","4",1,"Working.Hours",1990,50.0607163837365
"64","4",2,"Working.Hours",1990,48.2979455541574
"65","5",1,"Ave.Age",1990,39.7084024527769
"66","5",2,"Ave.Age",1990,41.1653082466659
"67","5",1,"Ave.Schooling",1990,8.52748551254757
"68","5",2,"Ave.Schooling",1990,8.16460895286322
"69","5",1,"Employed.Numb",1990,299904.3667675
"70","5",2,"Employed.Numb",1990,139987.6674525
"71","5",1,"Employment.Share",1990,0.665269107651486
"72","5",2,"Employment.Share",1990,0.282145176034022
"73","5",1,"Pop",1990,450816.88528
"74","5",2,"Pop",1990,496117.93234
"75","5",1,"Unemployed.Numb",1990,25510.6844775
"76","5",2,"Unemployed.Numb",1990,10435.6757425
"77","5",1,"Unemployment.Share",1990,0.0565893218858044
"78","5",2,"Unemployment.Share",1990,0.0210347776044815
"79","5",1,"Working.Hours",1990,48.5075625694651
"80","5",2,"Working.Hours",1990,45.1783981566858
"81","6",1,"Ave.Age",1990,38.7399708447949
"82","6",2,"Ave.Age",1990,39.7740229630256
"83","6",1,"Ave.Schooling",1990,6.86336308659196
"84","6",2,"Ave.Schooling",1990,7.06264660721829
"85","6",1,"Employed.Numb",1990,167146.284925
"86","6",2,"Employed.Numb",1990,48367.197745
"87","6",1,"Employment.Share",1990,0.761734732725606
"88","6",2,"Employment.Share",1990,0.229875981340108
"89","6",1,"Pop",1990,219447.35824
"90","6",2,"Pop",1990,210421.04752
"91","6",1,"Unemployed.Numb",1990,9424.4619175
"92","6",2,"Unemployed.Numb",1990,1606.3583275
"93","6",1,"Unemployment.Share",1990,0.0429097476070452
"94","6",2,"Unemployment.Share",1990,0.0076353034959413
"95","6",1,"Working.Hours",1990,47.8119885416211
"96","6",2,"Working.Hours",1990,44.633318359581
"97","7",1,"Ave.Age",1990,38.298602165437
"98","7",2,"Ave.Age",1990,39.4973922004871
"99","7",1,"Ave.Schooling",1990,6.81502211660874
"100","7",2,"Ave.Schooling",1990,7.09038450098094
"101","7",1,"Employed.Numb",1990,200794.1160775
"102","7",2,"Employed.Numb",1990,72463.1160475
"103","7",1,"Employment.Share",1990,0.759139792497888
"104","7",2,"Employment.Share",1990,0.283327246585976
"105","7",1,"Pop",1990,264513.238575
"106","7",2,"Pop",1990,255755.634025
"107","7",1,"Unemployed.Numb",1990,18686.20202
"108","7",2,"Unemployed.Numb",1990,4866.6544925
"109","7",1,"Unemployment.Share",1990,0.0706227511713974
"110","7",2,"Unemployment.Share",1990,0.0190336018604892
"111","7",1,"Working.Hours",1990,48.5465915938059
"112","7",2,"Working.Hours",1990,45.5467901276225
"113","8",1,"Ave.Age",1990,37.7382889415029
"114","8",2,"Ave.Age",1990,38.4929910222298
"115","8",1,"Ave.Schooling",1990,7.67246640194412
"116","8",2,"Ave.Schooling",1990,7.55895639942209
"117","8",1,"Employed.Numb",1990,406026.27383
"118","8",2,"Employed.Numb",1990,151699.878415
"119","8",1,"Employment.Share",1990,0.733240305177863
"120","8",2,"Employment.Share",1990,0.266643142728208
"121","8",1,"Pop",1990,553761.002715
"122","8",2,"Pop",1990,568904.0346275
"123","8",1,"Unemployed.Numb",1990,21994.8729525
"124","8",2,"Unemployed.Numb",1990,12390.442805
"125","8",1,"Unemployment.Share",1990,0.0397242251221604
"126","8",2,"Unemployment.Share",1990,0.0217847554123616
"127","8",1,"Working.Hours",1990,47.6798092514943
"128","8",2,"Working.Hours",1990,43.5188115160685
"129","9",1,"Ave.Age",1990,39.719259660481
"130","9",2,"Ave.Age",1990,41.112974216822
"131","9",1,"Ave.Schooling",1990,6.94634829092136
"132","9",2,"Ave.Schooling",1990,6.69433888570037
"133","9",1,"Employed.Numb",1990,180346.68
"134","9",2,"Employed.Numb",1990,48651.164525
"135","9",1,"Employment.Share",1990,0.756566523542773
"136","9",2,"Employment.Share",1990,0.200615904582696
"137","9",1,"Pop",1990,238382.24264
"138","9",2,"Pop",1990,242516.4660425
"139","9",1,"Unemployed.Numb",1990,5536.469925
"140","9",2,"Unemployed.Numb",1990,2059.3192475
"141","9",1,"Unemployment.Share",1990,0.0232279730963549
"142","9",2,"Unemployment.Share",1990,0.00848857148894443
"143","9",1,"Working.Hours",1990,47.1243954982936
"144","9",2,"Working.Hours",1990,43.9687779650569
"145","10",1,"Ave.Age",1990,39.0890611650397
"146","10",2,"Ave.Age",1990,40.2398582679596
"147","10",1,"Ave.Schooling",1990,6.92915239017598
"148","10",2,"Ave.Schooling",1990,6.44924280577832
"149","10",1,"Employed.Numb",1990,238067.367495
"150","10",2,"Employed.Numb",1990,61953.210435
"151","10",1,"Employment.Share",1990,0.783681404025891
"152","10",2,"Employment.Share",1990,0.203283428685323
"153","10",1,"Pop",1990,303802.8949725
"154","10",2,"Pop",1990,304777.68326
"155","10",1,"Unemployed.Numb",1990,7609.5533325
"156","10",2,"Unemployed.Numb",1990,1455.2165575
"157","10",1,"Unemployment.Share",1990,0.025021284195271
"158","10",2,"Unemployment.Share",1990,0.00476489762209911
"159","10",1,"Working.Hours",1990,47.7968689066309
"160","10",2,"Working.Hours",1990,46.4126881163418
"161","11",1,"Ave.Age",1990,37.9945449097582
"162","11",2,"Ave.Age",1990,36.9273106355704
"163","11",1,"Ave.Schooling",1990,7.49604352072521
"164","11",2,"Ave.Schooling",1990,7.17105671835988
"165","11",1,"Employed.Numb",1990,23307.222185
"166","11",2,"Employed.Numb",1990,8695.8553575
"167","11",1,"Employment.Share",1990,0.828471609942875
"168","11",2,"Employment.Share",1990,0.37475043072891
"169","11",1,"Pop",1990,28137.6320625
"170","11",2,"Pop",1990,23203.0894375
"171","11",1,"Unemployed.Numb",1990,915.68042
"172","11",2,"Unemployed.Numb",1990,176.547075
"173","11",1,"Unemployment.Share",1990,0.0324538729776086
"174","11",2,"Unemployment.Share",1990,0.00761266172806701
"175","11",1,"Working.Hours",1990,46.5349357730661
"176","11",2,"Working.Hours",1990,43.2947134794952
"177","12",1,"Ave.Age",1990,39.9248325075996
"178","12",2,"Ave.Age",1990,39.2696258505336
"179","12",1,"Ave.Schooling",1990,8.97864447624974
"180","12",2,"Ave.Schooling",1990,8.59902681314674
"181","12",1,"Employed.Numb",1990,47548.9630925
"182","12",2,"Employed.Numb",1990,15865.25964
"183","12",1,"Employment.Share",1990,0.753565036670956
"184","12",2,"Employment.Share",1990,0.309621766246385
"185","12",1,"Pop",1990,63100.0094625
"186","12",2,"Pop",1990,51260.3225675
"187","12",1,"Unemployed.Numb",1990,2680.6860775
"188","12",2,"Unemployed.Numb",1990,314.91626
"189","12",1,"Unemployment.Share",1990,0.0424496592989829
"190","12",2,"Unemployment.Share",1990,0.00613205017043616
"191","12",1,"Working.Hours",1990,46.7650266586521
"192","12",2,"Working.Hours",1990,46.2423371564792
"193","13",1,"Ave.Age",1990,38.0812577122632
"194","13",2,"Ave.Age",1990,39.5439225376751
"195","13",1,"Ave.Schooling",1990,9.34984119364141
"196","13",2,"Ave.Schooling",1990,8.8893833510312
"197","13",1,"Employed.Numb",1990,1141526.8333675
"198","13",2,"Employed.Numb",1990,668301.813655
"199","13",1,"Employment.Share",1990,0.712877093725055
"200","13",2,"Employment.Share",1990,0.360856842205926
"201","13",1,"Pop",1990,1601354.874715
"202","13",2,"Pop",1990,1851950.335225
"203","13",1,"Unemployed.Numb",1990,78570.657255
"204","13",2,"Unemployed.Numb",1990,45703.4296675
"205","13",1,"Unemployment.Share",1990,0.0490500457618142
"206","13",2,"Unemployment.Share",1990,0.0246828585376067
"207","13",1,"Working.Hours",1990,47.4782869407839
"208","13",2,"Working.Hours",1990,45.8249659382365
"209","1",1,"Ave.Age",1991,38.4107722462995
"210","1",2,"Ave.Age",1991,38.190180467606
"211","1",1,"Ave.Schooling",1991,9.39809000081237
"212","1",2,"Ave.Schooling",1991,8.91209147432685
"213","1",1,"Employed.Numb",1991,90126.3165275
"214","1",2,"Employed.Numb",1991,39290.127345
"215","1",1,"Employment.Share",1991,0.758691566744205
"216","1",2,"Employment.Share",1991,0.346903175812419
"217","1",1,"Pop",1991,118790.4601575
"218","1",2,"Pop",1991,113244.04819
"219","1",1,"Unemployed.Numb",1991,4028.5429775
"220","1",2,"Unemployed.Numb",1991,2165.4958775
"221","1",1,"Unemployment.Share",1991,0.0339271985864171
"222","1",2,"Unemployment.Share",1991,0.0191204042041871
"223","1",1,"Working.Hours",1991,49.6297033622256
"224","1",2,"Working.Hours",1991,43.9646222352529
"225","2",1,"Ave.Age",1991,37.4661623697088
"226","2",2,"Ave.Age",1991,38.4083524691967
"227","2",1,"Ave.Schooling",1991,9.47280078980998
"228","2",2,"Ave.Schooling",1991,8.90950140257263
"229","2",1,"Employed.Numb",1991,94441.602595
"230","2",2,"Employed.Numb",1991,34870.8457775
"231","2",1,"Employment.Share",1991,0.709749561854955
"232","2",2,"Employment.Share",1991,0.2619195483391
"233","2",1,"Pop",1991,133047.8587475
"234","2",2,"Pop",1991,133122.2260675
"235","2",1,"Unemployed.Numb",1991,7944.932865
"236","2",2,"Unemployed.Numb",1991,2094.96706
"237","2",1,"Unemployment.Share",1991,0.0597644103445087
"238","2",2,"Unemployment.Share",1991,0.0157440377897065
"239","2",1,"Working.Hours",1991,49.2154191105289
"240","2",2,"Working.Hours",1991,45.4598719153227
"241","3",1,"Ave.Age",1991,37.7003295074611
"242","3",2,"Ave.Age",1991,38.2883924689379
"243","3",1,"Ave.Schooling",1991,8.63443781178452
"244","3",2,"Ave.Schooling",1991,8.26358999992827
"245","3",1,"Employed.Numb",1991,51919.630265
"246","3",2,"Employed.Numb",1991,15836.96638
"247","3",1,"Employment.Share",1991,0.7445132485183
"248","3",2,"Employment.Share",1991,0.230740393265255
"249","3",1,"Pop",1991,69736.1362675
"250","3",2,"Pop",1991,68630.342785
"251","3",1,"Unemployed.Numb",1991,4274.1909125
"252","3",2,"Unemployed.Numb",1991,1883.4201425
"253","3",1,"Unemployment.Share",1991,0.0612622442075821
"254","3",2,"Unemployment.Share",1991,0.0274575110865865
"255","3",1,"Working.Hours",1991,52.3298350957353
"256","3",2,"Working.Hours",1991,46.1322594309655
"257","4",1,"Ave.Age",1991,39.0760567040379
"258","4",2,"Ave.Age",1991,40.04220811127
"259","4",1,"Ave.Schooling",1991,7.09345369140115
"260","4",2,"Ave.Schooling",1991,7.16054695372185
"261","4",1,"Employed.Numb",1991,109966.2649675
"262","4",2,"Employed.Numb",1991,37292.031365
"263","4",1,"Employment.Share",1991,0.752922381495172
"264","4",2,"Employment.Share",1991,0.239559174739746
"265","4",1,"Pop",1991,146038.93107
"266","4",2,"Pop",1991,155637.9265675
"267","4",1,"Unemployed.Numb",1991,6404.1106075
"268","4",2,"Unemployed.Numb",1991,2313.8085
"269","4",1,"Unemployment.Share",1991,0.0438997171935355
"270","4",2,"Unemployment.Share",1991,0.0148683382814611
"271","4",1,"Working.Hours",1991,50.464467549427
"272","4",2,"Working.Hours",1991,47.0856726753906
"273","5",1,"Ave.Age",1991,39.8605063746509
"274","5",2,"Ave.Age",1991,41.2946534553611
"275","5",1,"Ave.Schooling",1991,8.55197868499815
"276","5",2,"Ave.Schooling",1991,8.07564729756743
"277","5",1,"Employed.Numb",1991,310695.9221825
"278","5",2,"Employed.Numb",1991,150226.670415
"279","5",1,"Employment.Share",1991,0.679816776064612
"280","5",2,"Employment.Share",1991,0.297752000234777
"281","5",1,"Pop",1991,457035.66
"282","5",2,"Pop",1991,504527.10031
"283","5",1,"Unemployed.Numb",1991,23158.7927625
"284","5",2,"Unemployed.Numb",1991,12778.071085
